experiment,image_encoder,audio_encoder,K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift
procrustes,dinov2-small,clap-larger,300,nan,heldout,0.01,0.03,0.11,0.2,3,15,0.05999999999999999,0.42565494775772095,0.407327056352686,0.11391096221573387,0.05454188256673461,0.407327056352686,0.40592452412997426,0.4087393141115866,0.2737320465842546,0.20126388518052263,0.1916889202172014,0.5667887288005165,0.08204312636705319
d,dinov2-small,clap-larger,0,0.7,aggregate,0.055,0.1525,0.24,0.3525,7,15,0.04050000000000001,0.35679420828819275,0.25062877654697785,0.16104336342389192,0.0782313223249833,0.2506287765469778,0.2508097551181317,0.25044805896747674,0.5249423258779702,0.49173511272728887,0.21744189226661895,0.38759736589986515,0.30750043361135126
d,dinov2-small,clap-larger,0,0.7,heldout_like_c,0.12,0.16,0.24,0.36,5,15,0.008,0.16861632466316223,0.7373944575796908,0.05883789081585032,0.03571428571428571,0.7373944575796909,0.7227028364908864,0.752695797061429,0.43901777034059797,0.4069840353106878,0.1747011942491821,0.5352512445368146,0.2643165760914159
unsup,dinov2-small,clap-larger,0,1.0,aggregate,0.0075,0.0175,0.035,0.0575,1,15,0.10850000000000001,0.6631737947463989,0.404505158023892,0.3335253779540564,0.17275606027768417,0.40450515802389203,0.39847682602384404,0.4107186903101238,0.26471610053019584,0.23491374480769928,0.21744189226661895,0.38759736589986515,0.047274208263576895
unsup,dinov2-small,clap-larger,0,1.0,heldout_like_c,0.0,0.0,0.08,0.12,1,15,0.048,0.37545719742774963,0.7369783788565568,0.2470744824770971,0.18674698795180722,0.7369783788565569,0.678546209718493,0.8064224527951749,0.18258948975558975,0.18010855474222487,0.1747011942491821,0.5352512445368146,0.007888295506407655
text,dinov2-small,clap-larger,0,nan,aggregate,0.0625,0.1675,0.2325,0.32,6,15,0.0315,0.27185073494911194,0.2465045626841432,0.15578043580032508,0.05478166561948651,0.2465045626841432,0.23803075822110423,0.25560396668492036,0.6260784439604461,0.36467121365230853,0.21744189226661895,0.38759736589986515,0.4086365516938272
text,dinov2-small,clap-larger,0,nan,heldout_like_c,0.0,0.16,0.24,0.28,3,15,0.016,0.3087954819202423,0.7569901059078311,0.24182892352324153,0.23963133640552994,0.7569901059078313,0.7132670844960695,0.8064235882340456,0.5352512445368146,0.5505399905455309,0.1747011942491821,0.5352512445368146,0.36055005028763254
c-direct,dinov2-small,clap-unfused,300,0.5,aggregate,0.6425,0.7475,0.77,0.8075,12,15,0.058499999999999996,0.3368125557899475,0.24887439154326377,0.1590386502668955,0.07146289124134662,0.24887439154326382,0.2491919163654072,0.2485576748830256,0.364424337608381,0.354156018437829,0.21744189226661895,0.38759736589986515,0.14698244534176205
c-direct,dinov2-small,clap-unfused,300,0.5,heldout,0.01,0.1,0.15,0.25,4,15,0.02,0.35596203804016113,0.3552588331071608,0.03190904351047347,0.008922563118410887,0.35525883310716083,0.35552840437763383,0.35498967031944956,0.2564212333628921,0.250004798123743,0.1916889202172014,0.5667887288005165,0.06473231314569067
c-transitive,dinov2-small,clap-unfused,300,0.7,aggregate,0.0375,0.125,0.1725,0.2575,2,15,0.053,0.41635388135910034,0.2663606547838008,0.18071783689523874,0.07189517842699093,0.26636065478380083,0.25167744030163663,0.2828632957670433,0.5085400882866022,0.4116094481220142,0.21744189226661895,0.38759736589986515,0.2910981960199833
c-transitive,dinov2-small,clap-unfused,300,0.7,heldout_like_c,0.03571428571428571,0.10714285714285714,0.17857142857142858,0.17857142857142858,1,15,0.04285714285714286,0.3877623677253723,0.6724271846075728,0.15914561654364442,0.1079646017699115,0.6724271846075727,0.6084769124753641,0.7513983464549523,0.3632399652262031,0.29164722565781187,0.18649790715941436,0.5353957183744474,0.17674205806678875
procrustes,dinov2-small,clap-unfused,300,nan,aggregate,0.655,0.7275,0.7575,0.7725,5,15,0.07550000000000001,0.3969288468360901,0.2778731544891095,0.19151784601396588,0.0863790119634976,0.27787315448910954,0.27761896080722903,0.27812781408761367,0.3805117133836527,0.25055914684485675,0.21744189226661895,0.38759736589986515,0.16306982111703375
procrustes,dinov2-small,clap-unfused,300,nan,heldout,0.02,0.05,0.11,0.14,2,15,0.078,0.5500837564468384,0.4031906636536968,0.11855106011792715,0.07676840702166596,0.4031906636536968,0.39489018841478785,0.4118475782226943,0.2797919540669988,0.21092327814479275,0.1916889202172014,0.5667887288005165,0.0881030338497974
d,dinov2-small,clap-unfused,0,0.7,aggregate,0.05,0.1675,0.2475,0.3525,6,15,0.0415,0.40409770607948303,0.25029014646487074,0.160750772846535,0.07451714454438464,0.25029014646487074,0.2510128795667958,0.24957156329732397,0.5252084373624862,0.49076531769971155,0.21744189226661895,0.38759736589986515,0.3077665450958673
d,dinov2-small,clap-unfused,0,0.7,heldout_like_c,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.2857142857142857,5,15,0.014285714285714287,0.2176653891801834,0.7057685874953485,0.0444825333825553,0.031496062992125984,0.7057685874953485,0.6908293954775631,0.7213681810310191,0.450765109521175,0.41049651152474437,0.18649790715941436,0.5353957183744474,0.2642672023617606
unsup,dinov2-small,clap-unfused,0,1.0,aggregate,0.005,0.0225,0.04,0.1075,4,15,0.09899999999999999,0.6764442920684814,0.43169014187860955,0.36374841598681806,0.19200986669054856,0.4316901418786096,0.42753035008917795,0.4359316770363137,0.2874734501666432,0.25903024787806034,0.21744189226661895,0.38759736589986515,0.07003155790002427
unsup,dinov2-small,clap-unfused,0,1.0,heldout_like_c,0.0,0.03571428571428571,0.03571428571428571,0.10714285714285714,0,15,0.07142857142857142,0.34326881170272827,0.6518934960463025,0.0848944408586709,0.04424778761061947,0.6518934960463025,0.5938325749643625,0.7225383996232295,0.20728021503408883,0.1991336499157472,0.18649790715941436,0.5353957183744474,0.02078230787467447
text,dinov2-small,clap-unfused,0,nan,aggregate,0.0625,0.1675,0.2325,0.32,5,15,0.0345,0.31327375769615173,0.25103072980611274,0.1595756660732982,0.053872914534158364,0.25103072980611274,0.2428783382566718,0.2597494114390125,0.6260784439604461,0.36467121365230853,0.21744189226661895,0.38759736589986515,0.4086365516938272
